Row,Row.Numbers,Genotype,Pedigree,Treatment,date,Canopy_Coverage
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,30-Aug,23.24295913
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,26-Aug,29.06513735
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,14-Aug,9.727281958
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,20-Aug,13.85881864
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,6-Jul,31.60031315
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,23-Aug,46.74857034
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,26-Aug,45.67067354
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,20-Aug,38.59074826
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,14-Aug,35.86313331
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,22-Aug,39.73692361
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,30-Aug,42.97139854
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,6-Jul,40.90126215
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,16-Aug,32.64131158
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,3-Sep,17.70110017
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,5-Sep,27.58919788
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,1-Sep,40.51422782
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,12-Aug,53.11692103
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,12-Aug,47.93899466
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,23-Aug,42.23770093
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,3-Sep,8.200837717
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,30-Aug,31.07412436
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,5-Sep,7.898463372
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,1-Sep,27.04438208
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,14-Aug,33.28500355
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,16-Aug,30.37066392
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,22-Aug,35.07492188
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,6-Jul,35.06979053
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,26-Aug,43.14139537
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,20-Aug,33.97000344
1029,1029 and 1030,NC262,PI 531085,Nitrogen,16-Aug,41.95343825
1029,1029 and 1030,NC262,PI 531085,Nitrogen,23-Aug,59.07340303
1029,1029 and 1030,NC262,PI 531085,Nitrogen,26-Aug,57.8260676
1029,1029 and 1030,NC262,PI 531085,Nitrogen,3-Sep,33.09580178
1029,1029 and 1030,NC262,PI 531085,Nitrogen,20-Aug,48.59424947
1029,1029 and 1030,NC262,PI 531085,Nitrogen,30-Aug,50.4985911
1029,1029 and 1030,NC262,PI 531085,Nitrogen,6-Jul,29.99026179
1029,1029 and 1030,NC262,PI 531085,Nitrogen,22-Aug,47.60705734
1029,1029 and 1030,NC262,PI 531085,Nitrogen,5-Sep,44.0991534
1029,1029 and 1030,NC262,PI 531085,Nitrogen,12-Aug,61.35003852
1029,1029 and 1030,NC262,PI 531085,Nitrogen,14-Aug,45.49172505
1029,1029 and 1030,NC262,PI 531085,Nitrogen,1-Sep,45.38285925
1031,1031 and 1032,N192,PI 550566,Nitrogen,16-Aug,26.71300429
1031,1031 and 1032,N192,PI 550566,Nitrogen,12-Aug,38.26762292
1031,1031 and 1032,N192,PI 550566,Nitrogen,5-Sep,16.08180571
1031,1031 and 1032,N192,PI 550566,Nitrogen,3-Sep,31.12877481
1031,1031 and 1032,N192,PI 550566,Nitrogen,1-Sep,19.7691624
1031,1031 and 1032,N192,PI 550566,Nitrogen,6-Jul,40.66143476
1031,1031 and 1032,N192,PI 550566,Nitrogen,22-Aug,32.20746978
1031,1031 and 1032,N192,PI 550566,Nitrogen,23-Aug,37.2901764
1031,1031 and 1032,N192,PI 550566,Nitrogen,14-Aug,23.55366027
1031,1031 and 1032,N192,PI 550566,Nitrogen,26-Aug,37.93307912
1031,1031 and 1032,N192,PI 550566,Nitrogen,30-Aug,26.43949017
1031,1031 and 1032,N192,PI 550566,Nitrogen,20-Aug,27.70454332
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,12-Aug,26.19107079
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,14-Aug,16.08528785
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,26-Aug,26.41539504
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,5-Sep,19.41583184
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,1-Sep,19.52117005
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,22-Aug,24.30435078
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,6-Jul,13.51129442
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,16-Aug,18.80458716
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,23-Aug,28.90434862
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,30-Aug,23.85032047
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,20-Aug,22.1646594
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,3-Sep,19.68162487
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,22-Aug,20.91064518
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,16-Aug,16.10425521
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,12-Aug,23.06588393
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,20-Aug,12.99148608
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,14-Aug,12.44796426
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,5-Sep,7.029416248
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,30-Aug,16.08777539
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,23-Aug,20.06991036
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,6-Jul,28.8720857
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,26-Aug,20.8752165
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,3-Sep,9.145250619
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,1-Sep,8.379912879
1037,1037 and 1038,SD44,PI 524969,Nitrogen,6-Jul,39.38744725
1037,1037 and 1038,SD44,PI 524969,Nitrogen,20-Aug,46.48498322
1037,1037 and 1038,SD44,PI 524969,Nitrogen,30-Aug,46.43452616
1037,1037 and 1038,SD44,PI 524969,Nitrogen,23-Aug,57.40990074
1037,1037 and 1038,SD44,PI 524969,Nitrogen,3-Sep,22.95214732
1037,1037 and 1038,SD44,PI 524969,Nitrogen,12-Aug,65.8181588
1037,1037 and 1038,SD44,PI 524969,Nitrogen,26-Aug,47.33678164
1037,1037 and 1038,SD44,PI 524969,Nitrogen,16-Aug,49.45064976
1037,1037 and 1038,SD44,PI 524969,Nitrogen,22-Aug,48.95542457
1037,1037 and 1038,SD44,PI 524969,Nitrogen,5-Sep,17.81463469
1037,1037 and 1038,SD44,PI 524969,Nitrogen,14-Aug,48.2753579
1037,1037 and 1038,SD44,PI 524969,Nitrogen,1-Sep,34.12550952
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,26-Aug,64.13754473
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,12-Aug,74.05584887
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,1-Sep,53.28674083
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,23-Aug,62.71779384
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,16-Aug,65.00588868
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,3-Sep,41.5925184
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,14-Aug,60.98974515
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,6-Jul,39.97403143
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,22-Aug,62.23337958
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,30-Aug,59.55937103
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,20-Aug,55.45320759
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,5-Sep,43.37531696
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,14-Aug,69.68748096
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,20-Aug,74.39476014
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,22-Aug,71.75957517
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,30-Aug,77.46893843
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,6-Jul,36.02642684
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,23-Aug,75.26835503
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,1-Sep,71.50990285
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,3-Sep,63.08605341
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,12-Aug,76.3956061
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,16-Aug,68.65419766
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,26-Aug,72.80346299
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,5-Sep,61.39696
1045,1045 and 1046,DE1,PI 606329,Nitrogen,30-Aug,24.83173463
1045,1045 and 1046,DE1,PI 606329,Nitrogen,5-Sep,10.02840476
1045,1045 and 1046,DE1,PI 606329,Nitrogen,3-Sep,18.85076434
1045,1045 and 1046,DE1,PI 606329,Nitrogen,20-Aug,12.65588218
1045,1045 and 1046,DE1,PI 606329,Nitrogen,22-Aug,20.88093326
1045,1045 and 1046,DE1,PI 606329,Nitrogen,14-Aug,10.36206721
1045,1045 and 1046,DE1,PI 606329,Nitrogen,16-Aug,14.50173321
1045,1045 and 1046,DE1,PI 606329,Nitrogen,12-Aug,17.88444019
1045,1045 and 1046,DE1,PI 606329,Nitrogen,6-Jul,13.72324378
1045,1045 and 1046,DE1,PI 606329,Nitrogen,1-Sep,20.26203748
1045,1045 and 1046,DE1,PI 606329,Nitrogen,26-Aug,26.54617128
1045,1045 and 1046,DE1,PI 606329,Nitrogen,23-Aug,17.67343093
1049,1049 and 1050,A635,Ames 19309,Nitrogen,30-Aug,40.09636021
1049,1049 and 1050,A635,Ames 19309,Nitrogen,3-Sep,29.73165219
1049,1049 and 1050,A635,Ames 19309,Nitrogen,23-Aug,50.84612604
1049,1049 and 1050,A635,Ames 19309,Nitrogen,5-Sep,16.38054066
1049,1049 and 1050,A635,Ames 19309,Nitrogen,1-Sep,28.04049764
1049,1049 and 1050,A635,Ames 19309,Nitrogen,20-Aug,47.06851842
1049,1049 and 1050,A635,Ames 19309,Nitrogen,22-Aug,48.34456763
1049,1049 and 1050,A635,Ames 19309,Nitrogen,26-Aug,55.51310926
1049,1049 and 1050,A635,Ames 19309,Nitrogen,14-Aug,39.18367347
1049,1049 and 1050,A635,Ames 19309,Nitrogen,16-Aug,47.73280317
1049,1049 and 1050,A635,Ames 19309,Nitrogen,6-Jul,45.87195203
1049,1049 and 1050,A635,Ames 19309,Nitrogen,12-Aug,63.39574327
1053,1053 and 1054,C103,Ames 19284,Nitrogen,26-Aug,61.78685347
1053,1053 and 1054,C103,Ames 19284,Nitrogen,12-Aug,63.3809703
1053,1053 and 1054,C103,Ames 19284,Nitrogen,3-Sep,48.7351766
1053,1053 and 1054,C103,Ames 19284,Nitrogen,5-Sep,43.70702914
1053,1053 and 1054,C103,Ames 19284,Nitrogen,30-Aug,66.58373848
1053,1053 and 1054,C103,Ames 19284,Nitrogen,6-Jul,33.62853488
1053,1053 and 1054,C103,Ames 19284,Nitrogen,14-Aug,50.27312418
1053,1053 and 1054,C103,Ames 19284,Nitrogen,20-Aug,53.94939469
1053,1053 and 1054,C103,Ames 19284,Nitrogen,1-Sep,60.44509055
1053,1053 and 1054,C103,Ames 19284,Nitrogen,23-Aug,59.58691401
1053,1053 and 1054,C103,Ames 19284,Nitrogen,16-Aug,54.04893948
1053,1053 and 1054,C103,Ames 19284,Nitrogen,22-Aug,57.91029518
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,3-Sep,55.1418869
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,5-Sep,52.95395658
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,16-Aug,63.64314386
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,1-Sep,59.48266256
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,6-Jul,36.80853908
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,20-Aug,55.01342131
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,12-Aug,75.34848384
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,22-Aug,61.29367715
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,26-Aug,69.20172587
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,30-Aug,66.95049129
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,23-Aug,69.13354986
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,14-Aug,59.79084171
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,23-Aug,60.67997506
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,5-Sep,45.29797287
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,14-Aug,45.65580262
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,1-Sep,54.68114714
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,12-Aug,53.76024875
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,6-Jul,22.7675622
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,22-Aug,64.52598156
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,16-Aug,54.88315037
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,30-Aug,59.46155082
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,26-Aug,68.0177087
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,20-Aug,54.64650576
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,3-Sep,52.7763554
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,1-Sep,69.67807639
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,16-Aug,64.33175189
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,3-Sep,54.07535164
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,23-Aug,69.42702537
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,6-Jul,43.66042275
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,12-Aug,66.98452004
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,30-Aug,74.53754398
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,22-Aug,66.39682536
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,14-Aug,60.88983653
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,5-Sep,57.66831553
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,26-Aug,72.07575647
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,20-Aug,66.29329902
1063,1063 and 1064,NC264,PI 520774,Nitrogen,26-Aug,79.07251988
1063,1063 and 1064,NC264,PI 520774,Nitrogen,20-Aug,71.54568511
1063,1063 and 1064,NC264,PI 520774,Nitrogen,16-Aug,77.28305953
1063,1063 and 1064,NC264,PI 520774,Nitrogen,22-Aug,75.68180044
1063,1063 and 1064,NC264,PI 520774,Nitrogen,6-Jul,43.41295755
1063,1063 and 1064,NC264,PI 520774,Nitrogen,5-Sep,71.24329717
1063,1063 and 1064,NC264,PI 520774,Nitrogen,3-Sep,63.6970937
1063,1063 and 1064,NC264,PI 520774,Nitrogen,14-Aug,73.82231699
1063,1063 and 1064,NC264,PI 520774,Nitrogen,23-Aug,78.87744907
1063,1063 and 1064,NC264,PI 520774,Nitrogen,30-Aug,75.03540508
1063,1063 and 1064,NC264,PI 520774,Nitrogen,1-Sep,77.48607796
1063,1063 and 1064,NC264,PI 520774,Nitrogen,12-Aug,76.46173273
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,23-Aug,46.82855736
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,26-Aug,52.69110792
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,1-Sep,33.65025564
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,30-Aug,37.97351554
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,12-Aug,36.19131701
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,16-Aug,37.85919268
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,22-Aug,43.13289538
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,20-Aug,38.06613589
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,14-Aug,34.12204285
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,6-Jul,23.89452178
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,3-Sep,34.78323281
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,5-Sep,22.36244475
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,16-Aug,57.80478085
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,20-Aug,61.22280512
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,23-Aug,68.18167586
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,14-Aug,56.01177785
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,12-Aug,59.78199316
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,3-Sep,53.17057494
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,26-Aug,66.49550134
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,22-Aug,60.46577212
